customer_id,industry,annual_revenue,ebitda_margin,current_ratio,leverage_ratio,cash_flow,loan_amount,loan_term_months,interest_rate,debt_to_income,credit_utilization,number_of_accounts,delinquencies_12m,previous_defaults,collateral_value,days_past_due,years_in_business,ead,lgd,default,pd_true
SME100000,Professional Services,663123.8669882758,0.11521699489611141,1.2176252461374748,2.738770556177614,60642.36811822866,157199.54144874963,36,0.09277099415555053,0.5724749053337287,0.2028071349028022,5,0,0,723069.6095551836,18,7.0,145782.29829807905,0.20864481525647682,0,0.08640274623243513
SME100001,Retail,172821.73241928927,0.14481889383480104,1.9832521226642048,3.639086958170455,80462.89083503882,62032.38074576739,36,0.0843176407255789,0.5657753701750319,0.6394391424746473,4,0,1,58489.80486804916,0,11.5,62610.794896857486,0.3413523090495794,0,0.21480751560936154
SME100002,Hospitality,1035558.2340036872,0.04073952447219838,1.2120424094683162,2.7259886933817272,58612.110457389,296119.8825869009,24,0.09640986510945047,0.34314541620564554,0.6513491513300713,6,0,0,28274.51485435078,29,3.0,267332.09033646615,0.5953553449793894,0,0.24462564069394796
SME100003,Transportation,1252390.541856842,0.02897971506397927,1.6452334738768564,2.408301844856286,55650.484169198484,34273.3241821109,48,0.06647673153253426,0.6518376348907526,0.13040115872324007,6,0,1,780234.9825652997,11,10.3,34332.02212300528,0.1058443248877586,0,0.1728255819550404
SME100004,Manufacturing,69491.85367309932,0.15458382258703884,1.3810275573210085,2.7437727838294825,34550.544867907265,19366.111842150254,36,0.101417458826234,0.6082831610194563,0.48272581009574106,7,1,0,187007.10256357185,9,18.0,17900.161980685323,0.08,0,0.026479220701164277
SME100005,Technology,132962.2447890655,0.07937755461480306,1.474445700872503,2.2408332006233858,27348.447010479664,15681.1433170901,48,0.03893822077995222,0.36572644977838453,0.8092976336490826,4,1,0,53407.61311772076,0,17.7,14802.139903381625,0.1994006447927952,0,0.033879614517987676
SME100006,Professional Services,555620.2871626087,0.023799062639446436,1.5011702458360348,5.178910850889233,196702.8316887416,158848.4101589489,48,0.07896969529824091,0.41326542077264705,0.37577438443142125,7,0,0,262060.57533258325,13,3.3,161154.16324287135,0.2532367453623763,0,0.15455140356983557
SME100007,Professional Services,356381.6220227176,0.21722730338512503,1.2048612837426866,3.1323853220147386,16136.631966774461,44727.5676599585,60,0.06736015631710027,0.35877410827376793,0.5025365471963851,7,1,0,336747.7458601237,29,9.4,39894.111771547156,0.1626386591661383,0,0.07516698962526856
SME100008,Manufacturing,480796.24029937,0.08945642616583263,0.7737081679162926,1.9216597413590608,71910.9342662663,71731.60559905876,24,0.13722338992795877,0.5197708592711322,0.07857610556020862,7,1,0,181161.15962129843,0,8.1,63951.068400623895,0.08,1,0.028119835408480835
SME100009,Construction,208346.13213812452,0.23198492830922865,1.8713724600655368,0.1,69029.72737046248,135424.98588978095,60,0.0480933540092787,0.05,0.19589498150733745,6,1,0,210007.2359445863,0,18.1,134457.73873327003,0.17559074059957874,0,0.003110136140170727
SME100010,Retail,1178081.6755375864,0.14227766328875419,2.3264507357056305,2.384466286381157,70106.23856702774,106876.6385214197,48,0.08734730888431902,0.5923313405128038,0.38590513538848464,6,1,0,230230.69248267807,33,1.7,100958.00778549237,0.14223123681655075,0,0.02162410080117423
SME100011,Technology,1064261.7618777463,0.16358070896442428,2.362568475485713,1.777081733721777,133036.6768883624,29489.746562558845,48,0.10662151405173725,0.1641209164540779,0.716056599595349,7,0,0,39201.02786188864,22,14.3,28314.148997396893,0.1749025803966739,0,0.019013899501601695
